111222444	2804	S17	D
019385842	3456	F18	I
019385842	2804	F35	A
111222333	2597	F17	A
115327466	2804	F35	F
123456789	3456	F18	I
123456789	1234	S16	A
111222444	5387	S16	B
555555555	5387	S16	A
444555666	5387	S16	F
111222333	6789	F17	A
345098765	1234	S16	C
345098765	2597	F17	A
456587847	1234	S16	F
456587847	2804	S17	F
456587847	4190	F19	W
555555555	4195	S18	I
777777777	4190	F19	I
798783733	9023	S17	A
020187673	3456	F18	D
020187673	9023	S17	F
987654321	1234	S16	B
987654321	2804	S17	A
987654321	4190	F19	A
345098765	4195	F19	D
777777777	4195	F19	C
345098765	4195	S18	F
777777777	4195	S18	A
987654321	4195	F19	F
345098765	7777	F18	A
798783733	7777	F18	B
777777777	4190	S18	F
777777777	7777	S18	F
555555555	4190	S18	 
020187673	4190	S18	 
111222444	8702	F18	A
